B1,B2,B3,B4,B5,SB,fecha_sorteo,tipo_sorteo,numero_sorteo
22,23,27,28,30,3,2021-05-01 00:00:00,baloto,2081
2,5,10,23,34,7,2021-05-05 00:00:00,baloto,2082
4,8,9,28,37,11,2021-05-08 00:00:00,baloto,2083
4,23,28,29,31,16,2021-05-12 00:00:00,baloto,2084
3,5,25,30,42,8,2021-05-15 00:00:00,baloto,2085
9,12,16,21,30,1,2021-05-19 00:00:00,baloto,2086
8,29,32,34,42,5,2021-05-22 00:00:00,baloto,2087
3,9,12,34,35,13,2021-05-26 00:00:00,baloto,2088
8,12,18,40,43,4,2021-05-29 00:00:00,baloto,2089
1,15,22,36,37,13,2021-06-02 00:00:00,baloto,2090
1,4,5,16,30,7,2021-06-05 00:00:00,baloto,2091
7,14,20,34,41,4,2021-06-09 00:00:00,baloto,2092
9,15,25,27,33,13,2021-06-12 00:00:00,baloto,2093
7,8,21,30,42,2,2021-06-16 00:00:00,baloto,2094
1,5,8,14,40,8,2021-06-19 00:00:00,baloto,2095
6,19,20,37,38,10,2021-06-23 00:00:00,baloto,2096
6,21,22,34,36,10,2021-06-26 00:00:00,baloto,2097
26,29,39,42,43,4,2021-06-30 00:00:00,baloto,2098
21,22,23,33,41,8,2021-07-03 00:00:00,baloto,2099
5,9,16,29,42,11,2021-07-07 00:00:00,baloto,2100
8,15,30,35,36,3,2021-07-10 00:00:00,baloto,2101
7,8,18,34,42,8,2021-07-14 00:00:00,baloto,2102
14,18,20,32,33,4,2021-07-17 00:00:00,baloto,2103
7,9,15,16,26,11,2021-07-21 00:00:00,baloto,2104
21,22,29,30,38,11,2021-07-24 00:00:00,baloto,2105
6,22,28,32,36,2,2021-07-28 00:00:00,baloto,2106
1,27,28,34,37,11,2021-07-31 00:00:00,baloto,2107
6,10,15,33,42,16,2021-08-04 00:00:00,baloto,2108
14,18,20,39,41,5,2021-08-07 00:00:00,baloto,2109
2,9,24,26,42,5,2021-08-11 00:00:00,baloto,2110
10,14,32,35,42,13,2021-08-14 00:00:00,baloto,2111
8,12,15,31,38,14,2021-08-18 00:00:00,baloto,2112
12,14,18,37,40,2,2021-08-21 00:00:00,baloto,2113
7,18,20,22,34,11,2021-08-25 00:00:00,baloto,2114
8,18,21,30,43,5,2021-08-28 00:00:00,baloto,2115
1,7,9,31,40,13,2021-09-01 00:00:00,baloto,2116
22,30,31,34,41,16,2021-09-04 00:00:00,baloto,2117
8,14,25,31,34,6,2021-09-08 00:00:00,baloto,2118
8,9,25,32,41,1,2021-09-11 00:00:00,baloto,2119
15,20,34,35,38,13,2021-09-15 00:00:00,baloto,2120
2,10,11,18,23,10,2021-09-18 00:00:00,baloto,2121
14,19,40,41,43,2,2021-09-22 00:00:00,baloto,2122
9,17,39,41,43,1,2021-09-25 00:00:00,baloto,2123
20,28,35,37,39,3,2021-09-29 00:00:00,baloto,2124
1,16,24,36,42,11,2021-10-02 00:00:00,baloto,2125
5,20,22,32,35,16,2021-10-06 00:00:00,baloto,2126
5,15,27,34,35,4,2021-10-09 00:00:00,baloto,2127
1,2,11,15,33,12,2021-10-13 00:00:00,baloto,2128
2,8,11,13,22,15,2021-10-16 00:00:00,baloto,2129
11,14,15,22,25,16,2021-10-20 00:00:00,baloto,2130
2,5,7,20,34,14,2021-10-23 00:00:00,baloto,2131
12,14,18,28,40,8,2021-10-27 00:00:00,baloto,2132
17,19,21,24,40,11,2021-10-30 00:00:00,baloto,2133
