B1,B2,B3,B4,B5,SB,fecha_sorteo,tipo_sorteo,numero_sorteo
1,16,34,41,43,2,2021-05-01 00:00:00,revancha,2081
22,23,27,28,30,3,2021-05-01 00:00:00,baloto,2081
3,15,17,29,32,16,2021-05-05 00:00:00,revancha,2082
2,5,10,23,34,7,2021-05-05 00:00:00,baloto,2082
5,10,24,29,41,11,2021-05-08 00:00:00,revancha,2083
4,8,9,28,37,11,2021-05-08 00:00:00,baloto,2083
4,6,8,9,16,5,2021-05-12 00:00:00,revancha,2084
4,23,28,29,31,16,2021-05-12 00:00:00,baloto,2084
17,26,31,35,38,10,2021-05-15 00:00:00,revancha,2085
3,5,25,30,42,8,2021-05-15 00:00:00,baloto,2085
13,20,29,39,40,16,2021-05-19 00:00:00,revancha,2086
9,12,16,21,30,1,2021-05-19 00:00:00,baloto,2086
2,9,13,35,39,12,2021-05-22 00:00:00,revancha,2087
8,29,32,34,42,5,2021-05-22 00:00:00,baloto,2087
5,16,31,32,33,14,2021-05-26 00:00:00,revancha,2088
3,9,12,34,35,13,2021-05-26 00:00:00,baloto,2088
1,8,18,29,40,2,2021-05-29 00:00:00,revancha,2089
8,12,18,40,43,4,2021-05-29 00:00:00,baloto,2089
3,5,22,26,35,3,2021-06-02 00:00:00,revancha,2090
1,15,22,36,37,13,2021-06-02 00:00:00,baloto,2090
1,9,10,13,27,8,2021-06-05 00:00:00,revancha,2091
1,4,5,16,30,7,2021-06-05 00:00:00,baloto,2091
6,7,26,27,41,15,2021-06-09 00:00:00,revancha,2092
7,14,20,34,41,4,2021-06-09 00:00:00,baloto,2092
18,19,25,26,43,9,2021-06-12 00:00:00,revancha,2093
9,15,25,27,33,13,2021-06-12 00:00:00,baloto,2093
2,6,28,34,38,11,2021-06-16 00:00:00,revancha,2094
7,8,21,30,42,2,2021-06-16 00:00:00,baloto,2094
5,8,14,26,33,3,2021-06-19 00:00:00,revancha,2095
1,5,8,14,40,8,2021-06-19 00:00:00,baloto,2095
15,16,17,39,41,9,2021-06-23 00:00:00,revancha,2096
6,19,20,37,38,10,2021-06-23 00:00:00,baloto,2096
4,14,31,32,43,16,2021-06-26 00:00:00,revancha,2097
6,21,22,34,36,10,2021-06-26 00:00:00,baloto,2097
23,28,35,37,38,15,2021-06-30 00:00:00,revancha,2098
